index,ticker,name,cik,sector,sub_industry,industry_group
84,CAH,Cardinal Health,721371,Health Care,Health Care Distributors,Health Care Equipment & Services
85,CCL,Carnival,815097,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
86,CARR,Carrier Global,1783180,Industrials,Building Products,Capital Goods
87,CAT,Caterpillar Inc.,18230,Industrials,Construction Machinery & Heavy Transportation Equipment,Capital Goods
88,CBOE,Cboe Global Markets,1374310,Financials,Financial Exchanges & Data,Financial Services
89,CBRE,CBRE Group,1138118,Real Estate,Real Estate Services,Real Estate Management & Development
90,CDW,CDW Corporation,1402057,Information Technology,Technology Distributors,Technology Hardware & Equipment
91,COR,Cencora,1140859,Health Care,Health Care Distributors,Health Care Equipment & Services
92,CNC,Centene Corporation,1071739,Health Care,Managed Health Care,Health Care Equipment & Services
93,CNP,CenterPoint Energy,1130310,Utilities,Multi-Utilities,Utilities
94,CF,CF Industries,1324404,Materials,Fertilizers & Agricultural Chemicals,Materials
95,CRL,Charles River Laboratories,1100682,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
96,SCHW,Charles Schwab Corporation,316709,Financials,Investment Banking & Brokerage,Financial Services
97,CHTR,Charter Communications,1091667,Communication Services,Cable & Satellite,Media & Entertainment
98,CVX,Chevron Corporation,93410,Energy,Integrated Oil & Gas,Energy
99,CMG,Chipotle Mexican Grill,1058090,Consumer Discretionary,Restaurants,Consumer Services
100,CB,Chubb Limited,896159,Financials,Property & Casualty Insurance,Insurance
101,CHD,Church & Dwight,313927,Consumer Staples,Household Products,Household & Personal Products
102,CI,Cigna,1739940,Health Care,Health Care Services,Health Care Equipment & Services
103,CINF,Cincinnati Financial,20286,Financials,Property & Casualty Insurance,Insurance
104,CTAS,Cintas,723254,Industrials,Diversified Support Services,Commercial & Professional Services
105,CSCO,Cisco,858877,Information Technology,Communications Equipment,Technology Hardware & Equipment
106,C,Citigroup,831001,Financials,Diversified Banks,Banks
107,CFG,Citizens Financial Group,759944,Financials,Regional Banks,Banks
108,CLX,Clorox,21076,Consumer Staples,Household Products,Household & Personal Products
109,CME,CME Group,1156375,Financials,Financial Exchanges & Data,Financial Services
110,CMS,CMS Energy,811156,Utilities,Multi-Utilities,Utilities
111,KO,Coca-Cola Company (The),21344,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Food, Beverage & Tobacco"
112,CTSH,Cognizant,1058290,Information Technology,IT Consulting & Other Services,Software & Services
113,COIN,Coinbase,1679788,Financials,Financial Exchanges & Data,Financial Services
114,CL,Colgate-Palmolive,21665,Consumer Staples,Household Products,Household & Personal Products
115,CMCSA,Comcast,1166691,Communication Services,Cable & Satellite,Media & Entertainment
116,CAG,Conagra Brands,23217,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
117,COP,ConocoPhillips,1163165,Energy,Oil & Gas Exploration & Production,Energy
118,ED,Consolidated Edison,1047862,Utilities,Multi-Utilities,Utilities
119,STZ,Constellation Brands,16918,Consumer Staples,Distillers & Vintners,"Food, Beverage & Tobacco"
120,CEG,Constellation Energy,1868275,Utilities,Electric Utilities,Utilities
121,COO,Cooper Companies (The),711404,Health Care,Health Care Supplies,Health Care Equipment & Services
122,CPRT,Copart,900075,Industrials,Diversified Support Services,Commercial & Professional Services
123,GLW,Corning Inc.,24741,Information Technology,Electronic Components,Technology Hardware & Equipment
124,CPAY,Corpay,1175454,Financials,Transaction & Payment Processing Services,Financial Services
125,CTVA,Corteva,1755672,Materials,Fertilizers & Agricultural Chemicals,Materials
126,CSGP,CoStar Group,1057352,Real Estate,Real Estate Services,Real Estate Management & Development
127,COST,Costco,909832,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail
128,CTRA,Coterra,858470,Energy,Oil & Gas Exploration & Production,Energy
129,CRWD,CrowdStrike,1535527,Information Technology,Systems Software,Software & Services
130,CCI,Crown Castle,1051470,Real Estate,Telecom Tower REITs,Equity Real Estate Investment Trusts (REITs)
131,CSX,CSX Corporation,277948,Industrials,Rail Transportation,Transportation
132,CMI,Cummins,26172,Industrials,Construction Machinery & Heavy Transportation Equipment,Capital Goods
133,CVS,CVS Health,64803,Health Care,Health Care Services,Health Care Equipment & Services
134,DHR,Danaher Corporation,313616,Health Care,Life Sciences Tools & Services,"Pharmaceuticals, Biotechnology & Life Sciences"
135,DRI,Darden Restaurants,940944,Consumer Discretionary,Restaurants,Consumer Services
136,DDOG,Datadog,1561550,Information Technology,Application Software,Software & Services
137,DVA,DaVita,927066,Health Care,Health Care Services,Health Care Equipment & Services
138,DAY,Dayforce,1725057,Industrials,Human Resource & Employment Services,Commercial & Professional Services
139,DECK,Deckers Brands,910521,Consumer Discretionary,Footwear,Consumer Durables & Apparel
140,DE,Deere & Company,315189,Industrials,Agricultural & Farm Machinery,Capital Goods
141,DELL,Dell Technologies,1571996,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
142,DAL,Delta Air Lines,27904,Industrials,Passenger Airlines,Transportation
143,DVN,Devon Energy,1090012,Energy,Oil & Gas Exploration & Production,Energy
144,DXCM,Dexcom,1093557,Health Care,Health Care Equipment,Health Care Equipment & Services
145,FANG,Diamondback Energy,1539838,Energy,Oil & Gas Exploration & Production,Energy
146,DLR,Digital Realty,1297996,Real Estate,Data Center REITs,Equity Real Estate Investment Trusts (REITs)
147,DG,Dollar General,29534,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail
148,DLTR,Dollar Tree,935703,Consumer Staples,Consumer Staples Merchandise Retail,Consumer Staples Distribution & Retail
149,D,Dominion Energy,715957,Utilities,Multi-Utilities,Utilities
150,DPZ,Domino's,1286681,Consumer Discretionary,Restaurants,Consumer Services
151,DASH,DoorDash,1792789,Consumer Discretionary,Specialized Consumer Services,Consumer Services
152,DOV,Dover Corporation,29905,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
153,DOW,Dow Inc.,1751788,Materials,Commodity Chemicals,Materials
154,DHI,D. R. Horton,882184,Consumer Discretionary,Homebuilding,Consumer Durables & Apparel
155,DTE,DTE Energy,936340,Utilities,Multi-Utilities,Utilities
156,DUK,Duke Energy,1326160,Utilities,Electric Utilities,Utilities
157,DD,DuPont,1666700,Materials,Specialty Chemicals,Materials
158,ETN,Eaton Corporation,1551182,Industrials,Electrical Components & Equipment,Capital Goods
159,EBAY,eBay Inc.,1065088,Consumer Discretionary,Broadline Retail,Consumer Discretionary Distribution & Retail
160,ECL,Ecolab,31462,Materials,Specialty Chemicals,Materials
161,EIX,Edison International,827052,Utilities,Electric Utilities,Utilities
162,EW,Edwards Lifesciences,1099800,Health Care,Health Care Equipment,Health Care Equipment & Services
163,EA,Electronic Arts,712515,Communication Services,Interactive Home Entertainment,Media & Entertainment
164,ELV,Elevance Health,1156039,Health Care,Managed Health Care,Health Care Equipment & Services
165,EME,Emcor,105634,Industrials,Construction & Engineering,Capital Goods
166,EMR,Emerson Electric,32604,Industrials,Electrical Components & Equipment,Capital Goods
167,ETR,Entergy,65984,Utilities,Electric Utilities,Utilities
168,EOG,EOG Resources,821189,Energy,Oil & Gas Exploration & Production,Energy
169,EPAM,EPAM Systems,1352010,Information Technology,IT Consulting & Other Services,Software & Services
170,EQT,EQT Corporation,33213,Energy,Oil & Gas Exploration & Production,Energy
171,EFX,Equifax,33185,Industrials,Research & Consulting Services,Commercial & Professional Services
172,EQIX,Equinix,1101239,Real Estate,Data Center REITs,Equity Real Estate Investment Trusts (REITs)
173,EQR,Equity Residential,906107,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
174,ERIE,Erie Indemnity,922621,Financials,Insurance Brokers,Insurance
175,ESS,Essex Property Trust,920522,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
176,EL,Estée Lauder Companies (The),1001250,Consumer Staples,Personal Care Products,Household & Personal Products
177,EG,Everest Group,1095073,Financials,Reinsurance,Insurance
178,EVRG,Evergy,1711269,Utilities,Electric Utilities,Utilities
179,ES,Eversource Energy,72741,Utilities,Electric Utilities,Utilities
180,EXC,Exelon,1109357,Utilities,Electric Utilities,Utilities
181,EXE,Expand Energy,895126,Energy,Oil & Gas Exploration & Production,Energy
182,EXPE,Expedia Group,1324424,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
183,EXPD,Expeditors International,746515,Industrials,Air Freight & Logistics,Transportation
184,EXR,Extra Space Storage,1289490,Real Estate,Self-Storage REITs,Equity Real Estate Investment Trusts (REITs)
185,XOM,ExxonMobil,34088,Energy,Integrated Oil & Gas,Energy
186,FFIV,"F5, Inc.",1048695,Information Technology,Communications Equipment,Technology Hardware & Equipment
187,FDS,FactSet,1013237,Financials,Financial Exchanges & Data,Financial Services
188,FICO,Fair Isaac,814547,Information Technology,Application Software,Software & Services
189,FAST,Fastenal,815556,Industrials,Trading Companies & Distributors,Capital Goods
190,FRT,Federal Realty Investment Trust,34903,Real Estate,Retail REITs,Equity Real Estate Investment Trusts (REITs)
191,FDX,FedEx,1048911,Industrials,Air Freight & Logistics,Transportation
192,FIS,Fidelity National Information Services,1136893,Financials,Transaction & Payment Processing Services,Financial Services
193,FITB,Fifth Third Bancorp,35527,Financials,Regional Banks,Banks
194,FSLR,First Solar,1274494,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
195,FE,FirstEnergy,1031296,Utilities,Electric Utilities,Utilities
196,FISV,Fiserv,798354,Financials,Transaction & Payment Processing Services,Financial Services
197,F,Ford Motor Company,37996,Consumer Discretionary,Automobile Manufacturers,Automobiles & Components
198,FTNT,Fortinet,1262039,Information Technology,Systems Software,Software & Services
199,FTV,Fortive,1659166,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
200,FOXA,Fox Corporation (Class A),1754301,Communication Services,Broadcasting,Media & Entertainment
201,FOX,Fox Corporation (Class B),1754301,Communication Services,Broadcasting,Media & Entertainment
202,BEN,Franklin Resources,38777,Financials,Asset Management & Custody Banks,Financial Services
203,FCX,Freeport-McMoRan,831259,Materials,Copper,Materials
204,GRMN,Garmin,1121788,Consumer Discretionary,Consumer Electronics,Consumer Durables & Apparel
205,IT,Gartner,749251,Information Technology,IT Consulting & Other Services,Software & Services
206,GE,GE Aerospace,40545,Industrials,Aerospace & Defense,Capital Goods
207,GEHC,GE HealthCare,1932393,Health Care,Health Care Equipment,Health Care Equipment & Services
208,GEV,GE Vernova,1996810,Industrials,Heavy Electrical Equipment,Capital Goods
209,GEN,Gen Digital,849399,Information Technology,Systems Software,Software & Services
210,GNRC,Generac,1474735,Industrials,Electrical Components & Equipment,Capital Goods
211,GD,General Dynamics,40533,Industrials,Aerospace & Defense,Capital Goods
212,GIS,General Mills,40704,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
213,GM,General Motors,1467858,Consumer Discretionary,Automobile Manufacturers,Automobiles & Components
214,GPC,Genuine Parts Company,40987,Consumer Discretionary,Distributors,Consumer Discretionary Distribution & Retail
215,GILD,Gilead Sciences,882095,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
216,GPN,Global Payments,1123360,Financials,Transaction & Payment Processing Services,Financial Services
217,GL,Globe Life,320335,Financials,Life & Health Insurance,Insurance
218,GDDY,GoDaddy,1609711,Information Technology,Internet Services & Infrastructure,Software & Services
219,GS,Goldman Sachs,886982,Financials,Investment Banking & Brokerage,Financial Services
220,HAL,Halliburton,45012,Energy,Oil & Gas Equipment & Services,Energy
221,HIG,Hartford (The),874766,Financials,Property & Casualty Insurance,Insurance
222,HAS,Hasbro,46080,Consumer Discretionary,Leisure Products,Consumer Durables & Apparel
223,HCA,HCA Healthcare,860730,Health Care,Health Care Facilities,Health Care Equipment & Services
224,DOC,Healthpeak Properties,765880,Real Estate,Health Care REITs,Equity Real Estate Investment Trusts (REITs)
225,HSIC,Henry Schein,1000228,Health Care,Health Care Distributors,Health Care Equipment & Services
226,HSY,Hershey Company (The),47111,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
227,HPE,Hewlett Packard Enterprise,1645590,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
228,HLT,Hilton Worldwide,1585689,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
229,HOLX,Hologic,859737,Health Care,Health Care Equipment,Health Care Equipment & Services
230,HD,Home Depot (The),354950,Consumer Discretionary,Home Improvement Retail,Consumer Discretionary Distribution & Retail
231,HON,Honeywell,773840,Industrials,Industrial Conglomerates,Capital Goods
232,HRL,Hormel Foods,48465,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
233,HST,Host Hotels & Resorts,1070750,Real Estate,Hotel & Resort REITs,Equity Real Estate Investment Trusts (REITs)
234,HWM,Howmet Aerospace,4281,Industrials,Aerospace & Defense,Capital Goods
235,HPQ,HP Inc.,47217,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
236,HUBB,Hubbell Incorporated,48898,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
237,HUM,Humana,49071,Health Care,Managed Health Care,Health Care Equipment & Services
238,HBAN,Huntington Bancshares,49196,Financials,Regional Banks,Banks
239,HII,Huntington Ingalls Industries,1501585,Industrials,Aerospace & Defense,Capital Goods
240,IBM,IBM,51143,Information Technology,IT Consulting & Other Services,Software & Services
241,IEX,IDEX Corporation,832101,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
242,IDXX,Idexx Laboratories,874716,Health Care,Health Care Equipment,Health Care Equipment & Services
243,ITW,Illinois Tool Works,49826,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
244,INCY,Incyte,879169,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
245,IR,Ingersoll Rand,1699150,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
246,PODD,Insulet Corporation,1145197,Health Care,Health Care Equipment,Health Care Equipment & Services
247,INTC,Intel,50863,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
248,IBKR,Interactive Brokers,1381197,Financials,Investment Banking & Brokerage,Financial Services
249,ICE,Intercontinental Exchange,1571949,Financials,Financial Exchanges & Data,Financial Services
